"Name","Url","DataSource","ExtractedDate","Firm_","Phone","Fax","Address","Contact","Position","Mobile_No_","PostalAddress","Email","Conditions","Maintenance_and_General_Works_Group","Traffic_Management_Services_contract_Groups","PrequalificationCategories","Letter"
"A J Williams Group Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/1569dabaa85a1b14ca257526007a6485?OpenDocument","Fresh","2026-01-21 15:54:12","A J Williams Group Pty Ltd","(03) 5345 6455","(03) 5345 6494","44 Smyth Street, ALLENDALE VIC 3364","Mr Andrew Williams","Managing Director","0412 834 856","P O Box 239, CRESWICK VIC 3363&nbsp","admin@ajwilliamsgroup.com.au","A J Williams Group Pty Ltd (ACN: 075 085 960)  - 1 Third Avenue, SUNSHINE  VIC 3020","Maintenance: Maintenance Bridges (M2-BW), Maintenance Pavements (M2-PW), Maintenance Roadsides (M2-RW)","Traffic Control Systems Supply & Maintenance; a: SCTV- Closed Circuit Television, SCTV - Communications, SSLC - Street Lighting & Conduit Installation, STCE - Traffic Control Equipment, STCE 1 - Traffic Control Equipment 1, STCE 2 - Traffic Control Equipment 2, STS - Traffic Signals, STS1 - Traffic Signals Installation, STS2 - Traffic Signals Maintenance, SVDL - Vehicle Detection Loops","BW, M2-BW, M2-PW, M2-RW, PW, RW, SCTV, SSLC, STCE, STS, STS1, STS2, SVDL","A"
"A Plus Traffic Management**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/656ec25e3da9214cca2580080083c95d?OpenDocument","Fresh","2026-01-21 15:54:13","LJ & LJ Pty Ltd","0439 002 343",,"177 Queen Street, WARRAGUL VIC 3820","Mr Lloyd Burgmann","Director","0439 002 484","PO Box 190, WARRAGUL VIC 3820&nbsp","admin@aplustraffic.com.au",,,,,"A"
"A S James Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/e8ed7c03b7048e60ca256d0a0007352c?OpenDocument","Fresh","2026-01-21 15:54:13","A S James Pty Ltd","9547 4811.","9547 5393","15 Libbett Avenue, CLAYTON SOUTH VIC 3806","Mr Daniel Gunn",,,"""As Above""&nbsp","danielg@asjames.com.au",,,,"AND, FPD1, M1, ND1, PT1, PT2, RM1","A"
"A W Evans (Evans Earthmoving)**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/53362b0ad554678cca258a51001781df?OpenDocument","Fresh","2026-01-21 15:54:14","Deja Eight Pty Ltd","03 5236 6593","03 5236 6003","25 Turner Drive, FORREST VIC 3236","Mr Peter Moroney","Business Manager","0411 863 286","""As Above"", &nbsp","peterm@evansearthmoving.biz",,,,"B1, F005, R1","A"
"A1 Asphalting Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/aa5a3147fac82c1bca257bad000baab5?OpenDocument","Fresh","2026-01-21 15:54:15","A1 Asphalting Pty Ltd","(03) 5625 3066","(03) 5625 5420","50 Parinda Road, DROUIN VIC 3818","Mr Kim McGill","General Manager","0400 829 287","PO BOX 188, DROUIN, VIC 3818&nbsp","kim@a1group.com.au",,"Maintenance: Maintenance Works-Minor (M1); General Works: Road Surfacing Asphalt (G2-RSA)",,"M1, ROAD, RSA, WORKS-MINOR","A"
"A1 Civil Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/174b8795632736f2ca257db70017ff9e?OpenDocument","Fresh","2026-01-21 15:54:15","A1 Civil Pty Ltd","(03) 56 253 066","(03) 56 255 420","12 Weerong Road, DROUIN VIC 3818","Mr Kim McGill","Director","0400 829 287","P O Box 188, DROUIN VIC 3818&nbsp","kim@a1group.com.au",,,,"F005, R1","A"
"A1 Highways Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/1ef451d6050c4468ca257d1f001c5f55?OpenDocument","Fresh","2026-01-21 15:54:16","A1 Highways Pty Ltd","(07) 38047912","(07) 3803 7201","3-9 Octal St, YATALA QLD 4207","Mr Mick Lunn","Managing Director",,"""As Above"", &nbsp","sales@A1highways.com.au",,"Maintenance: Maintenance Works-Minor (M1); General Works: General Works-Minor (G1), Guardfence (G2-GF), Sign Erection-Major (G2-SE)",,"ERECTION-MAJOR, GF, M1, SE, SIGN, WORKS-MINOR","A"
"A1 Traffic Management**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/d7318284ae904871ca2573c90005f58c?OpenDocument","Fresh","2026-01-21 15:54:16","Skyrider Tower Hire Pty Ltd","(03) 5339 1010","(03) 5339 1869","Shed 4, 319 Learmonth Road, WENDOUREE VIC 3355","Mr Randall Coates","Operations Manager","0429 959 088","P.O. Box 112, WENDOUREE VIC 3355&nbsp","a1traffic@a1traffic.com.au",,,,,"A"
"AAM Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/9b606d6170503ac7ca257eac0004af8d?OpenDocument","Fresh","2026-01-21 15:54:17","AAM Pty Ltd","(03) 9572 8750","(03) 9572 8751","90 Camberwell Road, HAWTHORN EAST VIC 3123","Mr Ken Gillian","Business development","0488 579 686","""As Above"", &nbsp","info@aamgroup.com",,,,"AP, PM","A"
"ABC Traffic Management Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/3ca2f76a4c003832ca257a0c002bd1ae?OpenDocument","Fresh","2026-01-21 15:54:18","ABC Traffic Management Pty Ltd","(03) 9727 0344","(03) 9727 0255","266-268 Maroondah Highway, CHIRNSIDE PARK VIC 3116","Mr Jack Furey","Operations Manager","0447 444 700","P O Box 8097, CROYDON VIC 3136&nbsp","reception@abccivilgroup.com.au",,,,,"A"
